epoch,accuracy
1,0.7192008879023307
2,0.8335183129855716
3,0.802441731409545
4,0.8479467258601554
5,0.8546059933407325
6,0.8401775804661488
7,0.8634850166481687
8,0.8723640399556049
9,0.8779134295227525
10,0.897891231964484
11,0.8834628190899001
12,0.8745837957824639
13,0.8945615982241953
14,0.897891231964484
15,0.9067702552719201
16,0.9078801331853497
17,0.9001109877913429
18,0.9100998890122086
19,0.8956714761376249
20,0.9145394006659268
21,0.9123196448390677
22,0.9156492785793563
23,0.9189789123196448
24,0.8879023307436182
25,0.9056603773584906
26,0.9356270810210877
27,0.93007769145394
28,0.9211986681465039
29,0.9267480577136515
30,0.9367369589345172
31,0.9356270810210877
32,0.93007769145394
33,0.9367369589345172
34,0.9345172031076582
35,0.9400665926748057
36,0.9234184239733629
37,0.9311875693673696
38,0.9489456159822419
39,0.9378468368479467
40,0.9356270810210877
41,0.9378468368479467
42,0.9400665926748057
43,0.9422863485016648
44,0.9456159822419534
45,0.904550499445061
46,0.9322974472807991
47,0.9245283018867925
48,0.9478357380688124
49,0.9489456159822419
50,0.9433962264150944
51,0.946725860155383
52,0.9278579356270811
53,0.9389567147613762
54,0.9445061043285239
55,0.9411764705882353
56,0.9411764705882353
57,0.9389567147613762
58,0.9345172031076582
59,0.9322974472807991
60,0.9433962264150944
61,0.946725860155383
62,0.946725860155383
63,0.946725860155383
64,0.946725860155383
65,0.9478357380688124
66,0.9478357380688124
67,0.9478357380688124
68,0.9489456159822419
69,0.9478357380688124
70,0.946725860155383
71,0.9478357380688124
72,0.9478357380688124
73,0.9478357380688124
74,0.9478357380688124
75,0.9478357380688124
76,0.9478357380688124
77,0.9478357380688124
78,0.9478357380688124
79,0.9478357380688124
80,0.9478357380688124
81,0.9478357380688124
82,0.9478357380688124
83,0.9478357380688124
84,0.9478357380688124
85,0.9478357380688124
86,0.9478357380688124
87,0.9478357380688124
88,0.9478357380688124
89,0.9478357380688124
90,0.9478357380688124
91,0.9478357380688124
92,0.9478357380688124
93,0.9478357380688124
94,0.9478357380688124
95,0.9478357380688124
96,0.9478357380688124
97,0.9478357380688124
98,0.9478357380688124
99,0.9478357380688124
100,0.9478357380688124
101,0.9478357380688124
102,0.9478357380688124
103,0.9478357380688124
104,0.9478357380688124
105,0.9478357380688124
106,0.9478357380688124
107,0.9478357380688124
108,0.9478357380688124
109,0.9478357380688124
110,0.9478357380688124
111,0.9478357380688124
112,0.9478357380688124
113,0.9478357380688124
114,0.9478357380688124
115,0.9478357380688124
116,0.9478357380688124
117,0.9478357380688124
118,0.9478357380688124
119,0.9478357380688124
120,0.9478357380688124
121,0.9478357380688124
122,0.9478357380688124
123,0.9478357380688124
124,0.9478357380688124
125,0.9478357380688124
126,0.9478357380688124
127,0.9478357380688124
128,0.9478357380688124
129,0.9478357380688124
130,0.9478357380688124
131,0.9478357380688124
132,0.9478357380688124
133,0.9478357380688124
134,0.9478357380688124
135,0.9478357380688124
136,0.9478357380688124
137,0.9478357380688124
138,0.9478357380688124
139,0.9478357380688124
140,0.9478357380688124
141,0.9478357380688124
142,0.9478357380688124
143,0.9478357380688124
144,0.9478357380688124
145,0.9478357380688124
146,0.9478357380688124
147,0.9478357380688124
148,0.9478357380688124
149,0.9478357380688124
150,0.9478357380688124
151,0.9478357380688124
152,0.9478357380688124
153,0.9478357380688124
154,0.9478357380688124
155,0.9478357380688124
156,0.9478357380688124
157,0.9478357380688124
158,0.9478357380688124
159,0.9478357380688124
160,0.9478357380688124
161,0.9478357380688124
162,0.9478357380688124
163,0.9478357380688124
164,0.9478357380688124
165,0.9478357380688124
166,0.9478357380688124
167,0.9478357380688124
168,0.9478357380688124
169,0.9478357380688124
170,0.9478357380688124
171,0.9478357380688124
172,0.9478357380688124
173,0.9478357380688124
174,0.9478357380688124
175,0.9478357380688124
176,0.9478357380688124
177,0.9478357380688124
178,0.9478357380688124
179,0.9478357380688124
180,0.9478357380688124
181,0.9478357380688124
182,0.9478357380688124
183,0.9478357380688124
184,0.9478357380688124
185,0.9478357380688124
186,0.9478357380688124
187,0.9478357380688124
188,0.9478357380688124
189,0.9478357380688124
190,0.9478357380688124
191,0.9478357380688124
192,0.9478357380688124
193,0.9478357380688124
194,0.9478357380688124
195,0.9478357380688124
196,0.9478357380688124
197,0.9478357380688124
198,0.9478357380688124
199,0.9478357380688124
200,0.9478357380688124
