epoch,learning_rate
1,0.0002
2,0.0002
3,0.0002
4,0.0002
5,0.0002
6,0.0002
7,0.0002
8,0.0002
9,0.0002
10,0.0002
11,0.0002
12,0.0002
13,0.0002
14,0.0002
15,0.0002
16,0.0002
17,0.0002
18,0.0002
19,0.0002
20,0.0002
21,0.0002
22,0.0002
23,0.0002
24,0.0002
25,0.0002
26,0.0002
27,0.0002
28,0.0002
29,0.0002
30,0.0002
31,0.0002
32,0.0002
33,0.0002
34,0.0002
35,0.0002
36,0.0002
37,0.0002
38,0.0002
39,0.0002
40,0.0002
41,0.0002
42,0.0002
43,0.0002
44,0.0002
45,0.0002
46,0.0002
47,0.0002
48,0.0002
49,0.0002
50,0.0002
51,0.0002
52,0.0002
53,0.0002
54,0.0002
55,0.0002
56,0.0002
57,0.0002
58,0.0002
59,0.0002
60,0.0002
61,2e-05
62,2e-05
63,2e-05
64,2e-05
65,2e-05
66,2e-05
67,2e-05
68,2e-05
69,2e-05
70,2e-05
71,2e-05
72,2.0000000000000003e-06
73,2.0000000000000003e-06
74,2.0000000000000003e-06
75,2.0000000000000003e-06
76,2.0000000000000003e-06
77,2.0000000000000003e-06
78,2.0000000000000003e-06
79,2.0000000000000003e-06
80,2.0000000000000003e-06
81,2.0000000000000003e-06
82,2.0000000000000003e-06
83,2.0000000000000004e-07
84,2.0000000000000004e-07
85,2.0000000000000004e-07
86,2.0000000000000004e-07
87,2.0000000000000004e-07
88,2.0000000000000004e-07
89,2.0000000000000004e-07
90,2.0000000000000004e-07
91,2.0000000000000004e-07
92,2.0000000000000004e-07
93,2.0000000000000004e-07
94,2.0000000000000007e-08
95,2.0000000000000007e-08
96,2.0000000000000007e-08
97,2.0000000000000007e-08
98,2.0000000000000007e-08
99,2.0000000000000007e-08
100,2.0000000000000007e-08
101,2.0000000000000007e-08
102,2.0000000000000007e-08
103,2.0000000000000007e-08
104,2.0000000000000007e-08
105,2.000000000000001e-09
106,2.000000000000001e-09
107,2.000000000000001e-09
108,2.000000000000001e-09
109,2.000000000000001e-09
110,2.000000000000001e-09
111,2.000000000000001e-09
112,2.000000000000001e-09
113,2.000000000000001e-09
114,2.000000000000001e-09
115,2.000000000000001e-09
116,2.000000000000001e-09
117,2.000000000000001e-09
118,2.000000000000001e-09
119,2.000000000000001e-09
120,2.000000000000001e-09
121,2.000000000000001e-09
122,2.000000000000001e-09
123,2.000000000000001e-09
124,2.000000000000001e-09
125,2.000000000000001e-09
126,2.000000000000001e-09
127,2.000000000000001e-09
128,2.000000000000001e-09
129,2.000000000000001e-09
130,2.000000000000001e-09
131,2.000000000000001e-09
132,2.000000000000001e-09
133,2.000000000000001e-09
134,2.000000000000001e-09
135,2.000000000000001e-09
136,2.000000000000001e-09
137,2.000000000000001e-09
138,2.000000000000001e-09
139,2.000000000000001e-09
140,2.000000000000001e-09
141,2.000000000000001e-09
142,2.000000000000001e-09
143,2.000000000000001e-09
144,2.000000000000001e-09
145,2.000000000000001e-09
146,2.000000000000001e-09
147,2.000000000000001e-09
148,2.000000000000001e-09
149,2.000000000000001e-09
150,2.000000000000001e-09
151,2.000000000000001e-09
152,2.000000000000001e-09
153,2.000000000000001e-09
154,2.000000000000001e-09
155,2.000000000000001e-09
156,2.000000000000001e-09
157,2.000000000000001e-09
158,2.000000000000001e-09
159,2.000000000000001e-09
160,2.000000000000001e-09
161,2.000000000000001e-09
162,2.000000000000001e-09
163,2.000000000000001e-09
164,2.000000000000001e-09
165,2.000000000000001e-09
166,2.000000000000001e-09
167,2.000000000000001e-09
168,2.000000000000001e-09
169,2.000000000000001e-09
170,2.000000000000001e-09
171,2.000000000000001e-09
172,2.000000000000001e-09
173,2.000000000000001e-09
174,2.000000000000001e-09
175,2.000000000000001e-09
176,2.000000000000001e-09
177,2.000000000000001e-09
178,2.000000000000001e-09
179,2.000000000000001e-09
180,2.000000000000001e-09
181,2.000000000000001e-09
182,2.000000000000001e-09
183,2.000000000000001e-09
184,2.000000000000001e-09
185,2.000000000000001e-09
186,2.000000000000001e-09
187,2.000000000000001e-09
188,2.000000000000001e-09
189,2.000000000000001e-09
190,2.000000000000001e-09
191,2.000000000000001e-09
192,2.000000000000001e-09
193,2.000000000000001e-09
194,2.000000000000001e-09
195,2.000000000000001e-09
196,2.000000000000001e-09
197,2.000000000000001e-09
198,2.000000000000001e-09
199,2.000000000000001e-09
200,2.000000000000001e-09
