epoch,learning_rate
1,0.0002
2,0.0002
3,0.0002
4,0.0002
5,0.0002
6,0.0002
7,0.0002
8,0.0002
9,0.0002
10,0.0002
11,0.0002
12,0.0002
13,0.0002
14,0.0002
15,0.0002
16,0.0002
17,0.0002
18,0.0002
19,0.0002
20,0.0002
21,0.0002
22,0.0002
23,0.0002
24,0.0002
25,0.0002
26,0.0002
27,0.0002
28,0.0002
29,0.0002
30,0.0002
31,0.0002
32,0.0002
33,0.0002
34,0.0002
35,0.0002
36,0.0002
37,2e-05
38,2e-05
39,2e-05
40,2e-05
41,2e-05
42,2e-05
43,2e-05
44,2e-05
45,2e-05
46,2e-05
47,2e-05
48,2.0000000000000003e-06
49,2.0000000000000003e-06
50,2.0000000000000003e-06
51,2.0000000000000003e-06
52,2.0000000000000003e-06
53,2.0000000000000003e-06
54,2.0000000000000003e-06
55,2.0000000000000003e-06
56,2.0000000000000003e-06
57,2.0000000000000003e-06
58,2.0000000000000003e-06
59,2.0000000000000004e-07
60,2.0000000000000004e-07
61,2.0000000000000004e-07
62,2.0000000000000004e-07
63,2.0000000000000004e-07
64,2.0000000000000004e-07
65,2.0000000000000004e-07
66,2.0000000000000004e-07
67,2.0000000000000004e-07
68,2.0000000000000004e-07
69,2.0000000000000004e-07
70,2.0000000000000007e-08
71,2.0000000000000007e-08
72,2.0000000000000007e-08
73,2.0000000000000007e-08
74,2.0000000000000007e-08
75,2.0000000000000007e-08
76,2.0000000000000007e-08
77,2.0000000000000007e-08
78,2.0000000000000007e-08
79,2.0000000000000007e-08
80,2.0000000000000007e-08
81,2.000000000000001e-09
82,2.000000000000001e-09
83,2.000000000000001e-09
84,2.000000000000001e-09
85,2.000000000000001e-09
86,2.000000000000001e-09
87,2.000000000000001e-09
88,2.000000000000001e-09
89,2.000000000000001e-09
90,2.000000000000001e-09
91,2.000000000000001e-09
92,2.000000000000001e-09
93,2.000000000000001e-09
94,2.000000000000001e-09
95,2.000000000000001e-09
96,2.000000000000001e-09
97,2.000000000000001e-09
98,2.000000000000001e-09
99,2.000000000000001e-09
100,2.000000000000001e-09
101,2.000000000000001e-09
102,2.000000000000001e-09
103,2.000000000000001e-09
104,2.000000000000001e-09
105,2.000000000000001e-09
106,2.000000000000001e-09
107,2.000000000000001e-09
108,2.000000000000001e-09
109,2.000000000000001e-09
110,2.000000000000001e-09
111,2.000000000000001e-09
112,2.000000000000001e-09
113,2.000000000000001e-09
114,2.000000000000001e-09
115,2.000000000000001e-09
116,2.000000000000001e-09
117,2.000000000000001e-09
118,2.000000000000001e-09
119,2.000000000000001e-09
120,2.000000000000001e-09
121,2.000000000000001e-09
122,2.000000000000001e-09
123,2.000000000000001e-09
124,2.000000000000001e-09
125,2.000000000000001e-09
126,2.000000000000001e-09
127,2.000000000000001e-09
128,2.000000000000001e-09
129,2.000000000000001e-09
130,2.000000000000001e-09
131,2.000000000000001e-09
132,2.000000000000001e-09
133,2.000000000000001e-09
134,2.000000000000001e-09
135,2.000000000000001e-09
136,2.000000000000001e-09
137,2.000000000000001e-09
138,2.000000000000001e-09
139,2.000000000000001e-09
140,2.000000000000001e-09
141,2.000000000000001e-09
142,2.000000000000001e-09
143,2.000000000000001e-09
144,2.000000000000001e-09
145,2.000000000000001e-09
146,2.000000000000001e-09
147,2.000000000000001e-09
148,2.000000000000001e-09
149,2.000000000000001e-09
150,2.000000000000001e-09
151,2.000000000000001e-09
152,2.000000000000001e-09
153,2.000000000000001e-09
154,2.000000000000001e-09
155,2.000000000000001e-09
156,2.000000000000001e-09
157,2.000000000000001e-09
158,2.000000000000001e-09
159,2.000000000000001e-09
160,2.000000000000001e-09
161,2.000000000000001e-09
162,2.000000000000001e-09
163,2.000000000000001e-09
164,2.000000000000001e-09
165,2.000000000000001e-09
166,2.000000000000001e-09
167,2.000000000000001e-09
168,2.000000000000001e-09
169,2.000000000000001e-09
170,2.000000000000001e-09
171,2.000000000000001e-09
172,2.000000000000001e-09
173,2.000000000000001e-09
174,2.000000000000001e-09
175,2.000000000000001e-09
176,2.000000000000001e-09
177,2.000000000000001e-09
178,2.000000000000001e-09
179,2.000000000000001e-09
180,2.000000000000001e-09
181,2.000000000000001e-09
182,2.000000000000001e-09
183,2.000000000000001e-09
184,2.000000000000001e-09
185,2.000000000000001e-09
186,2.000000000000001e-09
187,2.000000000000001e-09
188,2.000000000000001e-09
189,2.000000000000001e-09
190,2.000000000000001e-09
191,2.000000000000001e-09
192,2.000000000000001e-09
193,2.000000000000001e-09
194,2.000000000000001e-09
195,2.000000000000001e-09
196,2.000000000000001e-09
197,2.000000000000001e-09
198,2.000000000000001e-09
199,2.000000000000001e-09
200,2.000000000000001e-09
