epoch,learning_rate
1,8.000000000000005e-06
2,8.131715983157183e-06
3,8.526502493040876e-06
4,9.183276202707553e-06
5,1.0100234870597256e-05
6,1.1274862286033836e-05
7,1.2703935173915821e-05
8,1.438353203965097e-05
9,1.6309043930062573e-05
10,1.8475187080739763e-05
11,2.087601741512519e-05
12,2.350494685555453e-05
13,2.6354761401488244e-05
14,2.9417640925327764e-05
15,3.2685180631494425e-05
16,3.6148414119886095e-05
17,3.9797837990423064e-05
18,4.362343792116644e-05
19,4.7614716148448725e-05
20,5.1760720273608124e-05
21,5.605007331727977e-05
22,6.047100493877073e-05
23,6.501138373485202e-05
24,6.965875052933543e-05
25,7.440035256208707e-05
26,7.92231784836594e-05
27,8.411399405951364e-05
28,8.905937848585793e-05
29,9.404576121744628e-05
30,9.905945920628101e-05
31,0.0001040867144490318
32,0.00010911373174013872
33,0.00011412671652700071
34,0.000119111912763373
35,0.00012405564065709913
36,0.00012894433420859616
37,0.0001337645784370831
38,0.00013850314619240123
39,0.00014314703445141212
40,0.00014768349999937184
41,0.00015210009439836983
42,0.00015638469814687535
43,0.00016052555393665578
44,0.0001645112989158055
45,0.00016833099586935495
46,0.00017197416323189575
47,0.00017543080384986625
48,0.0001786914324145702
49,0.00018174710149065115
50,0.00018458942606859743
51,0.00018721060657390416
52,0.0001896034502697528
53,0.00019176139099447796
54,0.00019367850717965973
55,0.0001953495380993991
56,0.00019676989830618596
57,0.000197935690213748
58,0.00019884371479235061
59,0.00019949148034719997
60,0.00019987720935586044
61,0.00019999997006247292
62,0.00019997305743420444
63,0.00019989580556224255
64,0.00019976825334523128
65,0.00019959046500955309
66,0.00019936253007698905
67,0.00019908456331964205
68,0.00019875670470214532
69,0.00019837911931118625
70,0.00019795199727238016
71,0.00019747555365453632
72,0.0001969500283613645
73,0.00019637568601067596
74,0.00019575281580114053
75,0.0001950817313666665
76,0.00019436277061847632
77,0.00019359629557495818
78,0.00019278269217937888
79,0.00019192237010554975
80,0.00019101576255154356
81,0.00019006332602156622
82,0.00018906554009609318
83,0.00018802290719038627
84,0.00018693595230151233
85,0.00018580522274399153
86,0.00018463128787420807
87,0.00018341473880372186
88,0.00018215618810162626
89,0.00018085626948610101
90,0.00017951563750531605
91,0.00017813496720784684
92,0.000176714953802767
93,0.0001752563123095897
94,0.00017375977719823372
95,0.00017222610201919576
96,0.00017065605902411504
97,0.00016905043877692147
98,0.0001674100497557627
99,0.0001657357179459112
100,0.00016402828642385564
101,0.00016228861493278675
102,0.00016051757944969045
103,0.00015871607174426715
104,0.0001568849989298989
105,0.00015502528300689056
106,0.00015313786039821458
107,0.00015122368147799418
108,0.00014928371009296116
109,0.00014731892307713007
110,0.00014533030975993303
111,0.00014331887146806215
112,0.00014128562102127195
113,0.00013923158222239364
114,0.00013715778934181977
115,0.00013506528659671803
116,0.00013295512762523628
117,0.000130828374955964
118,0.00012868609947291735
119,0.0001265293798763166
120,0.00012435930213942827
121,0.0001221769589617447
122,0.0001199834492187771
123,0.00011777987740873861
124,0.00011556735309639605
125,0.00011334699035437092
126,0.00011111990720216994
127,0.00010888722504322887
128,0.00010665006810025191
129,0.00010440956284913181
130,0.00010216683745173529
131,9.992302118783957e-05
132,9.767924388650603e-05
133,9.543663535717723e-05
134,9.319632482078383e-05
135,9.095944034114778e-05
136,8.872710825696836e-05
137,8.650045261467652e-05
138,8.428059460244401e-05
139,8.206865198563086e-05
140,7.986573854395732e-05
141,7.767296351068192e-05
142,7.54914310140694e-05
143,7.332223952142858e-05
144,7.116648128600114e-05
145,6.902524179697927e-05
146,6.689959923292913e-05
147,6.47906239188954e-05
148,6.269937778746043e-05
149,6.0626913844029276e-05
150,5.8574275636609645e-05
151,5.654249673035419e-05
152,5.453260018712919e-05
153,5.2545598050372204e-05
154,5.058249083549751e-05
155,4.864426702610688e-05
156,4.6731902576257864e-05
157,4.484636041904184e-05
158,4.298858998171792e-05
159,4.115952670764816e-05
160,3.936009158527323e-05
161,3.759119068436724e-05
162,3.585371469980415e-05
163,3.4148538503066255e-05
164,3.247652070172005e-05
165,3.083850320708126e-05
166,2.9235310810287352e-05
167,2.7667750766990132e-05
168,2.613661239087855e-05
169,2.4642666656235145e-05
170,2.31866658097275e-05
171,2.176934299162923e-05
172,2.0391411866661905e-05
173,1.9053566264643373e-05
174,1.7756479831123444e-05
175,1.65008056881831e-05
176,1.5287176105567904e-05
177,1.4116202182321222e-05
178,1.2988473539077215e-05
179,1.1904558021169328e-05
180,1.0865001412702871e-05
181,9.870327161736487e-06
182,8.921036116710129e-06
183,8.01760627425287e-06
184,7.16049253849713e-06
185,6.350126492020832e-06
186,5.586916178532578e-06
187,4.871245897409255e-06
188,4.203476010189823e-06
189,3.5839427591223436e-06
190,3.0129580978559998e-06
191,2.4908095343629206e-06
192,2.01775998616933e-06
193,1.5940476479686074e-06
194,1.2198858716831446e-06
195,8.954630590351846e-07
196,6.209425666808669e-07
197,3.9646262395527436e-07
198,2.2213626326977793e-07
199,9.805126319683619e-08
200,2.4270104270794635e-08
